#,PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is valid X (Twitter) card,X (Twitter) card attributes,X (Twitter) card values,Depth,Is indexable page,No. of all inlinks
138,20,https://gamedravo.com/games/gamepix-prism-match-3d,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
139,20,https://gamedravo.com/games/gamepix-anime-couple-dress-up,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
140,20,https://gamedravo.com/games/head-soccer-football,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
141,20,https://gamedravo.com/games/drift-rider,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
142,20,https://gamedravo.com/games/gamepix-racing-ball-3d,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
143,20,https://gamedravo.com/games/gamepix-spikes-and-feathers,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
144,20,https://gamedravo.com/games/gamepix-stickman-assault-prison-strike,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
145,20,https://gamedravo.com/games/mkd-truck-simulator-offroad-4,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
146,20,https://gamedravo.com/games/mkd-beat-the-boss-4,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
147,20,https://gamedravo.com/games/gamepix-parkour-obby-jump-to-victory,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
148,20,https://gamedravo.com/games/gamepix-ninja-adventure-game,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
149,20,https://gamedravo.com/games/gamepix-super-onion-boy-2,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
150,20,https://gamedravo.com/games/gamepix-hook-master-mafia-city,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
151,20,https://gamedravo.com/games/gamepix-stickman-legacy-of-war-3d,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
152,20,https://gamedravo.com/games/mkd-mountain-climb-4x4,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
153,20,https://gamedravo.com/games/gamepix-noob-huggy-winter,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
154,20,https://gamedravo.com/games/gamepix-snail-clicker,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
155,20,https://gamedravo.com/games/gamepix-frozen-sam-1,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
156,20,https://gamedravo.com/games/gamepix-epic-duck,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
157,20,https://gamedravo.com/games/fun-party-makeup,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
158,20,https://gamedravo.com/games/gamepix-awareness-game-the-robot-bar,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
159,20,https://gamedravo.com/games/gamepix-kobadoo-emojis,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
160,20,https://gamedravo.com/games/gamepix-moto-maniac-2,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
161,20,https://gamedravo.com/games/gamepix-dotto-botto,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
162,20,https://gamedravo.com/games/gamepix-long-neck-run-1,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
163,20,https://gamedravo.com/games/gamepix-satisfying-ball-clicker,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
164,20,https://gamedravo.com/games/gamepix-urban-sniper-multiplayer,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
165,20,https://gamedravo.com/games/mkd-hot-wheels-race-off,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
166,20,https://gamedravo.com/games/mkd-traffic-rider,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
167,20,https://gamedravo.com/games/golf-bit,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
168,20,https://gamedravo.com/games/princess-beauty-salon,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
169,20,https://gamedravo.com/games/gamepix-mazean,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
170,20,https://gamedravo.com/games/mkd-smashy-road-wanted,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
