#,PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,No. of all inlinks,Is in sitemap,Referenced in sitemaps,No. of referencing sitemaps
101,20,https://gamedravo.com/games/gamepix-roller-ski-queen-1,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
102,20,https://gamedravo.com/games/gamepix-crazy-plane-shooter,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
103,20,https://gamedravo.com/games/fashion-sticker-studio,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
104,20,https://gamedravo.com/games/gamepix-the-dwarf-planet,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
105,20,https://gamedravo.com/games/gamepix-heads-up-skibidi,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
106,20,https://gamedravo.com/games/stack-fire-ball,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
107,20,https://gamedravo.com/games/gamepix-faily-skater,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
108,20,https://gamedravo.com/games/crazy-parking-fury,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
109,20,https://gamedravo.com/games/gamepix-tiny-tomb,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
110,20,https://gamedravo.com/games/gamepix-stacky-dash-nail,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
111,20,https://gamedravo.com/games/gamepix-flappyball,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
112,20,https://gamedravo.com/games/gamepix-cut-the-rope-experiments,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
113,20,https://gamedravo.com/games/gamepix-dungeon-master-cult-craft,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
114,20,https://gamedravo.com/games/gamepix-twining-color-switch-game,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
